OTUID;Kingdom;Phylum;Class;Order;Family;Genus;Species
bc9fe870c29c7fc96e9ecc1de20ca74d;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
7036ea8923996ad038f2bd971c1f7305;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
d01e45e946862e43980f21dd1af11383;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;uncultured bacterium
756620ea6adc956d85a5d45c345ae1a7;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
6c4ab891fd6080bb04893d489f24882b;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;
f8d3d99e4446b7aeac73095ffb3c6369;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;
7671a9586dfa91ae3e9c730af6a9e286;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Mitsuokella;uncultured bacterium
a221f1e21e47f6abcae5845a7fbff20e;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
df54a1af33abf06f60664697285b5c90;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sutterella;
f7f788e218d1fdc4fcd486fe8025f226;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group;
959ea6d5997d9cea788e46f4589e2ea7;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;
e53c7e72ee0139ffbb9c4acf5c5a6c5d;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
d1938f6c89cfb89f09e8ef053e0fa63e;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;
ad69fedcb540ab4450279e8a28df370c;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus salivarius
3275ff4e9f15cadd8d7c67e7b06cdf09;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides plebeius
ecd4331fd5284471d9e0623efa0ac67b;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
f694068e47c2fd40149539643f862f48;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
04606040172240bef1b35f9d22ef6a63;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
9d5d1e1c0a183ae8fd1fcde6e831d7d9;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;
d5302fdf7bf7fb36897f5178643454f8;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
447ce216216947da914e1db6abd7626c;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] eligens group;
9e6ccbfd5d38f0fee14aea35b904f0cf;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;
ca9c6217f3bf97e100a8a818de25ea7f;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
5214d5de384ee7649b58b68667a5eb22;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group;
494921dda6b10c67a327f34d6b961ca4;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;
f4aca893d94a314ad3a1d12799a9f973;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
cd8de5e697378e2c584d171c375ed393;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;metagenome;metagenome
578fea59b0ae16ddb5a3b762447efb96;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 2;uncultured organism
9691c47e1c343f08c9c0d5a235ca7c7a;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;bacterium 'New Zealand B'
95e7862fe4967efb8955055ade90a890;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
c655509ca9a711a21904ac7e7c126051;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-003;
8929672e45aa0e25dbaa7c2c3a176410;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;metagenome
ef0e0864161e427edea00c21c4dc814a;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
4a778f5c5defc0ae0d140ee2f7a19ae6;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 3;
6cd0e52e3038609295065216d1b7756b;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002;
2b66732cc3ea57f174421406ae5b751b;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;uncultured organism
7e157438b2b5c160eb512ecd7ffb9c10;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;
d1bac85b169407a0a2b214722b416c4e;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ba153e8c42881c7e77cba0c70a8c0242;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides plebeius
760a8ebf60e02d87054196d84c921810;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ruminantium group;uncultured bacterium
3b037d07e821a52d4642cf16cb01dfb2;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
fb3a5baa37f706c06dab3ea1a36ca8e1;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae ND3007 group;
b176aebfc58b659c980c4dd39ca25804;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
45d271c997f65b14d630f5b19978a55b;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;
858b928fa515ce9ff4d2def503a33939;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
f292c321806070cd2a9858b403c17b9f;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
fad9eadb281f9f5a92e3be2d2226341e;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;
3bfb8c6299d67a4292469773d9254412;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002;
855931d9318dfbbfe3e67db4a63d9118;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
e88d5c55ef2ad705fafdaabebe0b291f;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2;
100d979b612044ae59972b82487f3c8e;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2;
2625971d9fde6bbf3cc7bb6aa012de4b;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
8c54a19d637ef7f1bddcf092c215331b;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megamonas;uncultured bacterium
d5cca6b94698022b703f1b7eb7b22f2c;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
94c5ba41f63f99b58c33efbae1adb052;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;
90361d236b529901d4778d5d6180a963;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae
5264e41870a37ac3c3c4ab775ef873f7;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
d6801b1eac66c9396e96594b0b0fe8af;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
cb70daca2d08c9974dd829214f2dc109;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum
d00f8f8344d02dfc5c3af61b3451b968;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;uncultured;uncultured bacterium
3d0c454d24ed90b94d6d824d877d7aba;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;
003d2dfc2bcf0def15bf9debc72fa8b0;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
e9b39d33bca9bebb55303b598039198e;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
a2dde14a4a4dd20aa55e5c23e85b1b8b;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
4a442e258a6c9e2796fd7f9754a8afe7;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;uncultured organism
77de9a23eca1d14e5ab29485215f7d59;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;human gut metagenome
764e38e830b020f7b0ecc9ce909a70c5;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] gauvreauii group;
ce938f62164ca768548290ee0943fdb2;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1;
20932c9934a27926c5ef67b38b965c36;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus equicursoris 66c
5f4e7e51be4b10cef11675a3e4295de9;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;gut metagenome
3e12d7f1cf0f3ab48aeef24c852b2e3a;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 2;uncultured bacterium
2916895635a06463a4c0df6534d0b7e6;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
dce1f2e1e6367ae1a7a97624fe71c441;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
8faecc55b64698cc04a81d0c82ed6655;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
2bc47e5cf0ae2577bb2c7610ad118d85;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;
f65194d91b600ddd6429a4e43c28eef9;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
059fc806088707a269bebc6be2b9b67f;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;
d5a2215645ca54ee0aedc5171abc1452;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii DSM 20697
4f45480d914e940c04351f4d00d584dd;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;metagenome;metagenome
a44f3e57dbe2bb313eeac644a1b7d537;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri
976a938ccfbacc04ec690a1fa9cddfa4;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus ruminis
c959d89de9b42bc681b699b9b0526954;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;
f16b424a9ef6e7eeb2063d3c598bd4b1;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002;
c041cdfad5819faa8bc407fed5d0e7ac;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;gut metagenome;gut metagenome
a26bc728f03399be71f06d77f7de5e55;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;
475efd9346b313995dafd9eb1c83e9ba;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7;
50269fddafc60156f05c5b6c6aaf1f82;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;
b58aabd4f1a029644933398f02a2ecdc;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;uncultured organism
126f7f52506cb824381d813bab598763;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873;uncultured bacterium
a7a3488f6a7e4df3a367fcd8df2f5f35;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis
1dd3732256642bad8fb7dfb833c8d144;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
9e1e2b2ccdb102c9c61bd179b28e138c;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;uncultured organism
80b4afcdcf852156e64cfb3648d705ad;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;uncultured bacterium
cd599e2b3044d451e357c95ef5b224b2;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;uncultured bacterium
85832c595016e7985fdfec7c8ba12158;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured organism
6bc07e17f6b472e93aba2ba048e9f828;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;uncultured organism
5e0b80436210f17ef31bed05073ecaf3;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;Megasphaera elsdenii
551c39bc8a76a721611e572836faac47;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
e0ed975766b896684a4d9abb991ee79f;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
b2829cbfb7a35176dd63e9c0cb4be8b1;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;
fe3646deecfb805c5987490138186af1;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sutterella;
d495f498084070d67ea13408ad8fbe33;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;Ruminococcus callidus ATCC 27760
a70b996e0f4469b8a4c28ee88c56a13d;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;CAG-56;uncultured bacterium
6e47a78733cb4bc141f16233b6d251ed;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
720be663ec006c4e2c39dce614436096;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus ruminis
1803871e28b07a5cd9fe44804299c921;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 2;
2c00f5751435fc8da5e87bd464bf9d2e;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum
96e9d18ba3324025c70dafc2175d33fa;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;
a79706da59dd5125a12a5b6a91cfe139;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus;uncultured organism
21f8e3006f1ccdd1a53a83d970864e90;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;
5d6ee0fd4e8f6d856fd47248055c2fe8;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
ba1e697dbf3677ad893e3213409a8db9;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
ba61fac1d261e060a2e31919f7b30caa;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
16df208c9f789ff419851a6d42517fbd;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;
dc836b0acff800dec0ceb75a3433090c;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;uncultured organism
04159412d1319181f74038d8d0d24947;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
5ea25f4ff378c8d499a20d1a1477b0c5;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides coprocola DSM 17136
13e782e8bdc0f371d109a5249d3d1893;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sutterella;Duodenibacillus massiliensis
bb53f2641d398f432e56aa16842e3b43;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013;
b4dfff7c8c395c4b869699589fcbb7f5;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;
4aea5a35a82795ff70b146c89b97f985;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;uncultured organism
556ed5769d374b1e6334a348aa679e77;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
b1fa57f07f5fd973e59f7fb2b439c5a5;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
5528f5330f6ecb2431725e2198339a10;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;uncultured bacterium
0dcf57f368572752b6c8e776d04dfbd3;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;
6d0097bd20a7b7272d9c5cd6b9708122;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;
fc6d6d97d7c64d112460e7ded3803773;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;
e3cc203069bdaf563d486fc00cd70b05;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
186a80bfac3305eddb65876cb4e3a5d9;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group;
cc043600d13766d0b5f042b5fca5b85f;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
b479c316082b5bfb6790d4952cf1b01b;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
510ae1e766cf9eba90e31e08aa164dc7;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;
ad1b3a21612422dfac7d45c305d6d5d4;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;uncultured bacterium
46418347f51a582be26fdd559db55668;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
0e1930f41b206e545083028b823a0576;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;gut metagenome
86000eff473230ee5e8a7f6599b3605c;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;uncultured bacterium
9e150f49f0763579c890686fca214098;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
d2a9c26cf3454520258af5240d97b9e7;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;Marseilla massiliensis
bfda39f84d55dd6f50fe1453c238a5be;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
28641fc2a4925d214a94ec2db1941b20;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;uncultured prokaryote
636f3d7174e5da8fb6ff898575fe6f28;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroidaceae bacterium DJF_B220
6acbe1b8d89f85028328401c1267bff7;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
022025f33db76bcaf156106642160050;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
cd9e3712fae95fbbba050c4484e224a8;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;
2a06599be342d376328186e13ad40451;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
87e5a865cfbd8ec1eecebb999b2c2e85;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002;
73e4860ecd3b9b3c1cb8dc5a9d87f0ed;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius subsp. thermophilus
71a2f38b108582d26296e7aecfa6b097;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas;
a12c561702606e42e01b794223956915;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;gut metagenome;gut metagenome
a811209e2a4f3f81fe4f0def666fc039;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella 3;unidentified
f3da66f5b77a16b252d8b75a31c1d425;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus oris
85ac78b2c71ce6b470d35bff4f05e0be;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;uncultured organism
fab27db3d65c21212d26e1009907affa;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;
64bc7b453c88eab2985538705f8a80b5;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;gut metagenome
f4e2e1f61c3c00f20a12a49582fefed9;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;
06064dd8ee8885dffb21f5aea5e05889;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;gut metagenome;gut metagenome
1e4dbd812fadcc629c593364ac28f160;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;
ed8b0e43d7b5bc67e8ec3e4431856f32;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;
a376cf722951274ddbc09689ba48679f;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;Ruminococcus sp. UNK.MGS-30
7af3d6d31d164f2302bec1ec4a8fa49f;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;gut metagenome;gut metagenome
7d45165abc56a38efa2d5934f5dcab91;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
abc374546d52fa29ab5f45a49c0b285f;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella bouchesdurhonensis
f24d9fd1630c85b298d54b07052294b6;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;uncultured bacterium
a1e760cf7f4f982230d802f9d7ee85bc;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7;
7aca342d24e363213f98486f72f36868;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
a7c5a1db24d55ea1af3ee61f1e0ab7a5;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
7eaa81d7776571bf28c1b1b227d73c27;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
